number,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw
0,-0.049401216208935,0.013944488950074,0.944327592849731,53.170768737793,1.64114487171173,-1.43395245075226,0.45997217297554,0.442305058240891,0.319950461387634,0.669914126396179,0.623694479465485,0.57629805803299
1,0.040113657712936,-0.030492080375552,1.0008978843689,57.7998504638672,7.96869850158691,-0.289981722831726,0.460247933864594,0.443817228078842,0.320641994476318,1.07523334026337,0.588140845298767,0.574101746082306
2,0.020682517439127,-0.028448265045881,0.998451709747314,51.8328475952148,12.9760389328003,0.186584636569023,0.4622962474823,0.442503035068512,0.321097314357758,1.80960023403168,0.312415570020676,0.550681591033935
3,-0.130300030112267,-0.125848561525345,0.87594872713089,43.4227447509766,13.6023683547974,0.021964112296701,0.462697863578796,0.44272592663765,0.321757614612579,2.38169097900391,0.169937580823898,0.557038903236389
4,0.141055956482887,-0.088782966136932,0.889858841896057,16.8452606201172,13.6549091339111,0.398615151643753,0.462892383337021,0.442844539880753,0.322290897369385,2.77450251579285,0.053505640476942,0.564716577529907
5,-0.079622872173786,-0.011368615552783,1.02709650993347,-6.52278518676758,12.1409788131714,-0.309164553880692,0.463009208440781,0.443858444690704,0.322889626026154,2.81639766693115,-0.054570529609919,0.583205580711365
6,0.026667011901736,0.03339496999979,0.940790176391602,-25.8014354705811,7.9153995513916,-1.98286235332489,0.46302330493927,0.444954514503479,0.324028849601746,2.61610794067383,-0.140084370970726,0.592941582202911
7,-0.100775241851807,0.007135650143027,0.991663992404938,-40.9585266113281,7.20728158950806,-2.08122134208679,0.462736964225769,0.446381688117981,0.324613630771637,2.2065532207489,-0.156934693455696,0.597203135490418
8,0.180719569325447,-0.014338416978717,0.922791600227356,-49.4303092956543,2.8096125125885,-4.83958530426025,0.463050037622452,0.447910308837891,0.325082838535309,1.65817975997925,-0.223910391330719,0.578406035900116
9,-0.002673128154129,0.045391354709864,0.961982429027557,-49.5852699279785,0.7264564037323,-6.59861946105957,0.463150292634964,0.447435051202774,0.324237704277039,1.25274872779846,-0.230388835072517,0.530117094516754
10,0.016083315014839,-0.043817594647408,0.992569088935852,-37.7080535888672,-0.019091060385108,-7.87603616714478,0.463070333003998,0.446563065052033,0.324544340372086,0.885378241539001,-0.20465986430645,0.467321395874023
11,-0.054249633103609,-0.155395224690437,1.0068234205246,-22.9782981872559,3.03141069412231,-8.57215213775635,0.463211059570313,0.445669710636139,0.324857801198959,0.637554705142975,-0.205116435885429,0.38791361451149
12,0.006092731840909,-0.053243741393089,0.988752484321594,-8.89337921142578,2.25944662094116,-8.58543300628662,0.463402777910232,0.445324540138245,0.324417173862457,0.467301517724991,-0.231228604912758,0.303988575935364
13,0.029169287532568,-0.047585636377335,0.974593460559845,-1.74796879291534,5.5269045829773,-9.7013578414917,0.463967859745026,0.445358991622925,0.324625819921494,0.383840531110764,-0.294828236103058,0.206916347146034
14,0.067407540977001,0.042787574231625,0.919057309627533,0.386610269546509,13.6266250610352,-8.68210792541504,0.464216381311417,0.445338904857636,0.324837505817413,0.370210587978363,-0.371484637260437,0.113672204315662
15,-0.183548763394356,0.007543969899416,1.05197274684906,0.980665683746338,21.6358089447021,-8.98812866210938,0.465083867311478,0.44451704621315,0.325016349554062,0.450698167085648,-0.608055830001831,0.013081959448755
16,-0.120991639792919,0.056802649050951,0.999723374843597,-0.73648065328598,24.1649913787842,-9.0301513671875,0.466823011636734,0.443861573934555,0.326481103897095,0.499010115861893,-0.97414767742157,-0.104563526809216
17,-0.019615806639195,0.306458294391632,0.885015785694122,-10.2849655151367,26.0439224243164,-8.35602474212647,0.467729181051254,0.444378644227982,0.326705694198608,0.392470329999924,-1.25198006629944,-0.203707575798035
18,0.099851362407208,0.449494898319244,0.851248443126678,-15.6170196533203,21.3554706573486,-7.11244249343872,0.466729491949081,0.445739090442658,0.327091842889786,0.114318192005157,-1.33212113380432,-0.265408426523209
19,0.112708531320095,0.407717794179916,0.876305758953095,-15.1803884506226,14.5633163452148,-5.658766746521,0.466896325349808,0.443494647741318,0.326549738645554,0.177546292543411,-1.48773384094238,-0.31173849105835
20,0.062577173113823,0.168330997228622,0.777538001537323,-13.6032791137695,5.05683135986328,-5.41718435287476,0.467209756374359,0.443542808294296,0.326481610536575,0.00410052575171,-1.61182308197021,-0.371929436922073
21,-0.022526066750288,-0.089280001819134,0.690784871578217,-12.7548389434814,-2.60118794441223,-4.99882698059082,0.467046231031418,0.443541258573532,0.326261669397354,-0.132416427135468,-1.6039844751358,-0.421828418970108
22,-0.107507079839706,-0.189338639378548,0.716766357421875,-11.2574319839478,-10.8230838775635,-2.89718556404114,0.468399405479431,0.444075644016266,0.325010448694229,-0.311428010463715,-1.68380749225616,-0.496345698833466
23,0.031968649476767,-0.22146201133728,0.724797368049622,-8.53138446807861,-16.9372253417969,-2.79512119293213,0.46711128950119,0.443009793758392,0.324276953935623,-0.305014759302139,-1.37704253196716,-0.487032920122147
24,-0.028265064582229,-0.136373117566109,0.908996164798737,-2.8805718421936,-17.2900867462158,-2.8519434928894,0.468066900968552,0.443091809749603,0.32304459810257,-0.399961084127426,-1.24506771564484,-0.524631679058075
25,0.133799165487289,-0.002125480445102,0.935083210468292,5.16781997680664,-12.4862966537476,-4.02856254577637,0.468052208423615,0.442525863647461,0.324344038963318,-0.378373742103577,-1.00331318378448,-0.54418671131134
26,0.109249994158745,-0.0016143823741,0.993512213230133,13.0025186538696,-3.06625556945801,-4.37881851196289,0.469418883323669,0.442191541194916,0.323012560606003,-0.298657834529877,-0.976964056491852,-0.59305477142334
27,0.050691306591034,-0.186320647597313,1.05802953243256,20.6930675506592,5.56452512741089,-5.62674760818481,0.469803422689438,0.440691292285919,0.321669638156891,-0.020565951243043,-0.938011705875397,-0.616316497325897
28,-0.008524565957487,0.004596571438015,1.15407824516296,24.3737716674805,14.9742794036865,-4.21258211135864,0.470917999744415,0.442174047231674,0.320447832345962,-0.000217160093598,-1.05433297157288,-0.705253958702087
29,0.256797581911087,0.207887455821037,1.13054513931274,23.0932598114014,18.7594223022461,-3.09669017791748,0.472800999879837,0.441243410110474,0.320012211799622,0.299171715974808,-1.33778786659241,-0.737772762775421
30,0.051422256976366,0.043081369251013,1.08227801322937,19.0044918060303,19.496753692627,-2.68740224838257,0.472550392150879,0.441591590642929,0.319179952144623,0.467833518981934,-1.4205094575882,-0.770490646362305
31,0.074680104851723,-0.126407980918884,0.948246717453003,9.62118434906006,13.1822299957275,-2.57684969902039,0.472512871026993,0.440999299287796,0.318351179361343,0.702630281448364,-1.53261864185333,-0.784698665142059
