number,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw
0,0.03767054900527,-0.059776823967695,0.980441212654114,-2.43829321861267,3.35809326171875,0.16491711139679,0.524428725242615,0.534803450107574,0.316117912530899,0.005348903592676,-0.158156603574753,2.33633160591125
1,0.00833169836551,-0.23242399096489,1.00472044944763,-1.59536421298981,10.1383838653564,-0.564837038516998,0.523930072784424,0.534880101680756,0.317452132701874,-0.041967552155256,-0.193566396832466,2.33205366134644
2,0.047110799700022,-0.058276869356632,0.925614297389984,-3.2034637928009,15.3432188034058,-0.308168023824692,0.52478289604187,0.5351203083992,0.317561209201813,-0.107380710542202,-0.426320791244507,2.32648992538452
3,-0.020601630210877,-0.035819355398417,0.998815059661865,-5.72827386856079,22.1974124908447,-0.268104821443558,0.526071906089783,0.535479307174683,0.31760585308075,-0.197180911898613,-0.752792954444885,2.32059454917908
4,0.012527363374829,-0.004808012861758,1.00791478157043,-5.45850658416748,22.717924118042,-0.55297064781189,0.526124000549316,0.533520817756653,0.317681640386581,-0.079184077680111,-0.969172656536102,2.33020949363708
5,0.211356490850449,-0.048312835395336,0.87406837940216,-3.28984808921814,24.9695873260498,-1.13776099681854,0.527816891670227,0.534771025180817,0.319838374853134,-0.267364621162415,-1.3711963891983,2.31086945533752
6,0.112974375486374,-0.061822015792132,1.10143864154816,-5.30446577072144,17.5351104736328,-0.070455729961395,0.526093900203705,0.534940659999847,0.320141851902008,-0.345545321702957,-1.39206373691559,2.29905796051025
7,0.108963049948215,-0.069310642778874,1.12863731384277,-0.849194645881653,10.7020874023438,0.224349051713943,0.525625288486481,0.534277141094208,0.320332437753677,-0.315009623765945,-1.47150754928589,2.30470728874207
8,-0.011966971680522,-0.169131889939308,0.9757981300354,-0.106931164860725,7.21112203598022,0.427684903144836,0.523841083049774,0.533469080924988,0.321556270122528,-0.263357847929001,-1.37054812908173,2.31129384040833
9,0.053032856434584,0.006816754117608,0.975027203559876,3.53109622001648,2.45812797546387,0.703987300395966,0.52578067779541,0.533290565013886,0.321778804063797,-0.225431367754936,-1.60069859027863,2.32366013526916
10,0.037485931068659,-0.209304109215736,0.954334437847137,4.36715126037598,1.10379385948181,-0.625521063804626,0.525107979774475,0.532931804656982,0.322092086076736,-0.164020359516144,-1.53572344779968,2.32560968399048
11,0.032862443476915,-0.037807788699865,0.980097532272339,1.89108490943909,2.12757587432861,-0.034225825220347,0.525221347808838,0.532782316207886,0.319768875837326,-0.143356904387474,-1.55095052719116,2.32314133644104
12,0.109870553016663,-0.023993125185371,1.00251233577728,0.258575677871704,3.19721531867981,-0.736445784568787,0.526188492774963,0.532724618911743,0.319766104221344,-0.138258367776871,-1.65399360656738,2.32055425643921
13,-0.033788945525885,-0.241970509290695,0.962068676948547,-2.65094304084778,3.85482168197632,-0.241331294178963,0.525724649429321,0.531989991664887,0.319829434156418,-0.102398552000523,-1.61752438545227,2.32596158981323
14,0.046367961913347,0.000263159861788,0.992317855358124,-5.19178009033203,3.43741393089294,-0.802431285381317,0.526000559329987,0.532262027263641,0.319854229688644,-0.192549884319305,-1.66252553462982,2.3091893196106
15,0.086639501154423,-0.226488396525383,0.956565797328949,-5.47271060943604,9.41709995269775,0.425561100244522,0.525534093379974,0.532654643058777,0.319912493228912,-0.301564991474152,-1.64771997928619,2.28792142868042
16,0.132508844137192,-0.121287271380425,0.981805503368378,-4.23764896392822,4.19501352310181,-0.845922112464905,0.526804208755493,0.533087491989136,0.319848865270615,-0.402020752429962,-1.81566631793976,2.27114987373352
17,0.091985918581486,0.003343516727909,0.993019759654999,-2.91342401504517,5.62897872924805,-0.832948207855225,0.526497960090637,0.532573759555817,0.319870471954346,-0.399123758077622,-1.81606566905975,2.27043890953064
18,-0.011885240674019,-0.057964138686657,0.993193984031677,-0.710912883281708,3.15764951705933,-0.363283842802048,0.527743637561798,0.532804667949677,0.32143771648407,-0.451203882694244,-1.95584392547607,2.26275205612183
19,0.04834558442235,-0.030872581526637,0.971427619457245,-0.169605329632759,2.20483946800232,-0.140263304114342,0.529650628566742,0.532950103282928,0.32133561372757,-0.471038907766342,-2.14119386672974,2.26205730438232
20,0.018509801477194,0.007854664698243,0.964220404624939,3.1753990650177,0.192114070057869,-0.342150092124939,0.530529022216797,0.532920002937317,0.321286469697952,-0.45699480175972,-2.18471455574036,2.26182126998901
21,0.041300941258669,-0.198638185858727,0.972219944000244,3.95001840591431,-4.03215742111206,0.125701949000359,0.529009163379669,0.532549202442169,0.323348164558411,-0.390109419822693,-1.96220803260803,2.25460243225098
22,-0.034768853336573,-0.46882551908493,0.975144028663635,5.9457859992981,-6.67119884490967,-0.755873203277588,0.529464960098267,0.532221496105194,0.323418945074081,-0.314253777265549,-1.90923416614532,2.26215529441833
23,0.061750277876854,-0.063823133707047,0.984349548816681,5.32144403457642,-9.1794900894165,-0.454697191715241,0.529724776744843,0.531851410865784,0.32348820567131,-0.233217909932137,-1.81110501289368,2.26566123962402
24,-0.041783813387156,0.042813912034035,1.01666247844696,4.03007030487061,-6.34820604324341,-0.595138728618622,0.529112935066223,0.531417846679688,0.323600649833679,-0.158683925867081,-1.62903344631195,2.26336646080017
25,0.070559717714787,0.07056849449873,1.00748455524445,1.11243581771851,-6.93556547164917,-0.326920717954636,0.530173122882843,0.531304359436035,0.323357582092285,-0.13452884554863,-1.62189042568207,2.26405024528503
26,-0.046106081455946,-0.012682737782598,1.04814946651459,-3.60766553878784,-1.83712255954742,-0.19795323908329,0.533001184463501,0.53141063451767,0.323267608880997,-0.15595968067646,-1.80072212219238,2.26911044120789
27,-0.043682046234608,-0.039912059903145,0.94546902179718,-5.35030508041382,-1.79767429828644,-0.239908918738365,0.535872220993042,0.53265118598938,0.323093622922897,-0.321571975946426,-1.97384023666382,2.24243474006653
28,0.074735760688782,0.031432241201401,1.01147353649139,-5.64907598495483,-2.44135522842407,0.804208397865295,0.53569483757019,0.533008456230164,0.322127044200897,-0.410694152116776,-1.8420387506485,2.22944951057434
29,0.088356122374535,-0.125743091106415,0.915642976760864,-3.41797947883606,-5.28039884567261,0.487535357475281,0.535350322723389,0.532542586326599,0.32221308350563,-0.403593629598618,-1.67002153396606,2.2433066368103
30,0.078207135200501,0.050089798867703,1.02199721336365,-0.228222608566284,-8.77772235870361,0.581158339977264,0.536500871181488,0.532007038593292,0.322117626667023,-0.367200464010239,-1.62056648731232,2.26846289634705
31,0.035445500165224,-0.030354039743543,0.944171845912933,4.70469379425049,-9.02171897888184,0.217058822512627,0.535129904747009,0.531788051128387,0.323820352554321,-0.323588281869888,-1.30394554138184,2.26356410980225
32,0.076786004006863,0.064522042870522,0.98006135225296,4.28540706634522,-8.46278953552246,0.186341151595116,0.536828637123108,0.532337963581085,0.323748588562012,-0.326851725578308,-1.29744350910187,2.25858879089355
33,-0.030772680416703,-0.091140925884247,1.01147174835205,5.06442356109619,-6.36836338043213,0.43987250328064,0.540311813354492,0.532187461853027,0.323528856039047,-0.249968394637108,-1.46918952465057,2.28204107284546
34,-0.000517273962032,-0.087281815707684,0.975159764289856,5.15035629272461,-5.9183611869812,0.437797755002975,0.539905548095703,0.532650113105774,0.323633700609207,-0.24774943292141,-1.26715075969696,2.26783537864685
35,-0.014775278046727,0.027699679136276,1.02768695354462,2.04044771194458,-8.03267574310303,0.348021119832993,0.541077077388763,0.532420575618744,0.323327511548996,-0.181127995252609,-1.21568238735199,2.27803134918213
36,0.070415750145912,-0.207620427012444,1.06643378734589,-0.864178061485291,-4.54915237426758,1.26643562316895,0.543042242527008,0.533200681209564,0.32321298122406,-0.23107673227787,-1.24416518211365,2.27343797683716
37,0.295570760965347,-0.120816238224506,1.05164575576782,0.977614760398865,-7.2817325592041,0.291501343250275,0.544284582138062,0.532574951648712,0.323219269514084,-0.171035334467888,-1.19377624988556,2.29641151428223
38,0.0748655423522,-0.005531990900636,0.969927608966827,-1.05768489837646,-7.68077754974365,0.519024252891541,0.543062686920166,0.533232927322388,0.325042337179184,-0.233403265476227,-0.901062428951263,2.26925730705261
39,0.045707456767559,0.045379780232906,0.942891240119934,2.0434033870697,-8.6095027923584,0.622167408466339,0.545664191246033,0.533367097377777,0.325080364942551,-0.224792420864105,-0.97279816865921,2.28343510627747
40,0.017996335402131,-0.032549787312746,0.949460923671722,0.439949125051498,-9.23998260498047,0.803251445293427,0.547475457191467,0.533325433731079,0.32509058713913,-0.191204383969307,-0.958224475383758,2.29720544815063
41,0.045613296329975,0.039244141429663,0.988742411136627,4.12250518798828,-7.49810838699341,0.746358335018158,0.546005308628082,0.533067941665649,0.324295818805695,-0.143185913562775,-0.638962686061859,2.29693222045898
42,0.057948555797339,-0.056055016815662,1.01384127140045,4.92598390579224,-10.2047691345215,0.868220508098602,0.547788619995117,0.53290182352066,0.324236959218979,-0.078990779817104,-0.630702793598175,2.31402897834778
43,-0.009018757380545,0.102014005184174,1.03766977787018,3.77015781402588,-8.29389572143555,0.307220548391342,0.551128089427948,0.53264445066452,0.324061036109924,0.009995200671256,-0.754017531871796,2.33247065544128
44,-0.004636870697141,0.022798791527748,0.990640103816986,3.16385769844055,-8.33662700653076,-0.199465945363045,0.553665280342102,0.532541573047638,0.325590878725052,0.063335575163364,-0.769157350063324,2.34091973304749
45,-0.015082648955286,0.123622603714466,0.987646281719208,-0.665151715278626,-6.62409591674805,-0.29911470413208,0.552357971668243,0.533124804496765,0.325961947441101,0.012205293402076,-0.450155764818192,2.31983232498169
46,0.160916104912758,-0.163044333457947,0.937332928180695,-1.21048080921173,-7.33249950408936,-0.521428525447845,0.554134070873261,0.533315122127533,0.325993806123734,-0.007269863039255,-0.426042079925537,2.31866717338562
47,0.040280871093273,-0.079306341707707,0.975408017635345,-3.81087183952332,-7.46323442459106,0.186252698302269,0.555218935012817,0.533602178096771,0.326043725013733,-0.055051680654287,-0.332608491182327,2.31764936447144
48,0.071173377335072,0.125402048230171,0.905938267707825,-0.766862034797668,1.31976294517517,0.196887627243996,0.553872466087341,0.533752143383026,0.324470728635788,-0.094648770987988,-0.052383795380592,2.31093239784241
49,-0.090783298015595,0.039165377616882,0.939540982246399,-1.6630072593689,-4.24373435974121,-0.102481320500374,0.555320858955383,0.533986747264862,0.324288815259934,-0.12057925760746,-0.062540665268898,2.31428265571594
50,0.184311836957932,0.088725909590721,1.01462936401367,0.177576273679733,-3.98551654815674,0.654767394065857,0.559954881668091,0.534254193305969,0.323898375034332,-0.128719240427017,-0.35620453953743,2.32059240341187
51,0.106891423463821,-0.10928463190794,1.11360812187195,0.285005509853363,-2.44590139389038,2.68375611305237,0.559865236282349,0.534136891365051,0.324204117059708,-0.096772447228432,-0.200771018862724,2.33362507820129
52,0.019782235845924,-0.033594526350498,1.3655070066452,-1.73097705841064,-6.49437713623047,0.585041642189026,0.561347723007202,0.534254133701324,0.32412576675415,-0.109811916947365,-0.201299488544464,2.34670472145081
53,0.007447755895555,-0.013350835070014,1.13805413246155,2.96965479850769,-3.04858946800232,0.504332959651947,0.564328074455261,0.534301817417145,0.324133813381195,-0.080965369939804,-0.331760287284851,2.35339879989624
54,0.022531434893608,-0.085885621607304,0.953235864639282,5.23873996734619,-5.38255119323731,-0.463944435119629,0.56637841463089,0.534123957157135,0.322879493236542,-0.011225149035454,-0.352068364620209,2.35474920272827
55,0.262605488300323,-0.097637929022312,0.963589549064636,3.64864706993103,-9.14733409881592,0.772587299346924,0.565924227237701,0.535320997238159,0.323306977748871,-0.070575907826424,-0.118643581867218,2.35190439224243
56,0.097960636019707,0.057463828474283,1.02708494663239,4.25325584411621,-7.93958473205566,-0.266012012958527,0.566049575805664,0.535157918930054,0.323608160018921,-0.009938980452716,0.077519573271275,2.35369920730591
57,-0.01899079605937,-0.029047098010779,0.981948435306549,2.09511590003967,-10.8133878707886,-1.30439221858978,0.568642914295197,0.535011112689972,0.323684990406036,0.055443797260523,0.060750208795071,2.34697079658508
58,0.386208236217499,-0.085524037480354,1.02899026870728,1.49511623382568,-6.93402338027954,-0.977627217769623,0.567182242870331,0.534797430038452,0.324891626834869,0.102894052863121,0.405439049005508,2.33223056793213
